title,author,instruments,genre,link
"Precipitoso nel mar , Aria from Aci, Galatea e Polifemo",by G. F. Handel (1685-1759),"for Voice (Bass), String Ensemble, Basso Continuo",Baroque,http://www.mutopiaproject.org/ftp/HandelGF/HWV72/Precipitoso_nel_mar/Precipitoso_nel_mar.mid
"Tanti strali, Duetto XII",by G. F. Handel (1685-1759),"for 2 Voices (Soprano, Alto), Basso Continuo",Baroque,http://www.mutopiaproject.org/ftp/HandelGF/HWV197/HWV197/HWV197-mids.zip
Nine German Arias,by G. F. Handel (1685-1759),"for Soprano, Violin/Oboe/Flute, Basso Continuo",Baroque,http://www.mutopiaproject.org/ftp/HandelGF/HWV202/NineGermanArias/NineGermanArias-mids.zip
"Sonata II, from Op. 1",by G. F. Handel (1685-1759),for Recorder and Basso Continuo,Baroque,http://www.mutopiaproject.org/ftp/HandelGF/HWV360/Sonata/Sonata-mids.zip
Sonata for Violin and Piano HWV 361,by G. F. Handel (1685-1759),for Violin and Piano,Baroque,http://www.mutopiaproject.org/ftp/HandelGF/HWV361/hwv361/hwv361-mids.zip
"Sonata VII, from Op. 1",by G. F. Handel (1685-1759),for Recorder and Basso Continuo,Baroque,http://www.mutopiaproject.org/ftp/HandelGF/HWV365/Sonata/Sonata-mids.zip
"Sonata XI, from Op. 1",by G. F. Handel (1685-1759),for Recorder and Basso Continuo,Baroque,http://www.mutopiaproject.org/ftp/HandelGF/HWV369/Sonata/Sonata-mids.zip
Sonata for Violin and Piano HWV 370,by G. F. Handel (1685-1759),for Violin and Piano,Baroque,http://www.mutopiaproject.org/ftp/HandelGF/HWV370/hwv370/hwv370-mids.zip
Sonatina in B-flat Major,by G. F. Handel (1685-1759),for Piano,Baroque,http://www.mutopiaproject.org/ftp/HandelGF/HWV585/sonatina-in-b-flat-major/sonatina-in-b-flat-major.mid
Gloria in Excelsis Deo,by G. F. Handel (1685-1759),"for Soprano, 2 Violins, Basso Continuo",Baroque,http://www.mutopiaproject.org/ftp/HandelGF/HWVdeest/GloriaInExcelsisDeo/GloriaInExcelsisDeo-mids.zip
Hallelujah Chorus from Messiah,by G. F. Handel (1685-1759),"for Voice (SATB), Orchestra: Strings (Violins, Viola, Cello, Bass), Oboes, Bassoons, Trumpet, Timpani",Baroque,http://www.mutopiaproject.org/ftp/HandelGF/hallelujah/hallelujah-mids.zip
"Se del fiume , Aria from Artaserse",by J. A. Hasse (1699-1783),"for Voice (Soprano), String Ensemble, Basso Continuo",Baroque,http://www.mutopiaproject.org/ftp/HasseJA/SeDelFiume/SeDelFiume.mid
Sonata a due viola da gamba nÂ°6,by A. Kuhnel (1645-1700),"for Ensemble: Basso, viola da gamba, viola da gamba",Baroque,http://www.mutopiaproject.org/ftp/KuhnelA/sonate6/sonate6-mids.zip
"Misero pargoletto, Aria from Demofoonte",by L. Leo (1694-1744),"for Voice (Soprano), String Ensemble, Basso Continuo",Baroque,http://www.mutopiaproject.org/ftp/LeoL/MiseroPargoletto/MiseroPargoletto.mid
Crucifixus a 10 voce,by A. Lotti (c.1667-1740),"for 3 Soprani, 2 Alti, 2 Tenori, 3 Bassi",Baroque,http://www.mutopiaproject.org/ftp/LottiA/crucifixus_a_10_voce/crucifixus_a_10_voce.mid
Le ballet de la revente des habits du ballet et comÃ©die,by J. B. Lully (1632-1687),"for Orchestra, Voice",Baroque,http://www.mutopiaproject.org/ftp/LullyJB/LWV05/lwv05/lwv05-mids.zip
Ballet de l'amour malade,by J. B. Lully (1632-1687),"for Orchestra, Voice",Baroque,http://www.mutopiaproject.org/ftp/LullyJB/LWV08/lwv08/lwv08-mids.zip
Les Plaisirs de l'Ãle EnchantÃ©e,by J. B. Lully (1632-1687),"for Voice, Orchestra",Baroque,http://www.mutopiaproject.org/ftp/LullyJB/LWV22/LWV22LesPlaisirsDeLIleEnchantee/LWV22LesPlaisirsDeLIleEnchantee-mids.zip
Le Bourgeois Gentilhomme,by J. B. Lully (1632-1687),"for Voice, Orchestra",Baroque,http://www.mutopiaproject.org/ftp/LullyJB/LWV43/lwv43/lwv43-mids.zip
PsychÃ©,by J. B. Lully (1632-1687),"for Voice, Orchestra",Baroque,http://www.mutopiaproject.org/ftp/LullyJB/LWV56/lwv56/lwv56-mids.zip
PhaÃ©ton,by J. B. Lully (1632-1687),"for Voice, Orchestra",Baroque,http://www.mutopiaproject.org/ftp/LullyJB/LWV61/LWV61Phaeton/LWV61Phaeton-mids.zip
"Acte II, Scene III from Armide",by J. B. Lully (1632-1687),"for Voice (Tenor), String Ensemble, Basso Continuo",Baroque,http://www.mutopiaproject.org/ftp/LullyJB/LWV71/Armide/Armide.mid
Armide,by J. B. Lully (1632-1687),"for Voice, Orchestra",Baroque,http://www.mutopiaproject.org/ftp/LullyJB/LWV71/lwv71/lwv71-mids.zip
Salve Regina,by J. B. Lully (1632-1687),for Voice and Bass,Baroque,http://www.mutopiaproject.org/ftp/LullyJB/LWV77/Lully-Salve_Regina/Lully-Salve_Regina.mid
"Ebra d'Amor fuggia, Cantata a voce sola di Soprano",by F. Mancini (1672-1737),for Voice (Soprano) and Basso Continuo,Baroque,http://www.mutopiaproject.org/ftp/ManciniF/Arianna/Arianna-mids.zip
Ciaccona,by B. Marcello (1686-1739),for Recorder and Basso Continuo,Baroque,http://www.mutopiaproject.org/ftp/MarcelloB/O2/Ciaccona/Ciaccona.mid
Gavotte,by G. B. Martini (1706-1784),"for Piano, Violin",Baroque,http://www.mutopiaproject.org/ftp/MartiniGB/Gavotte/Gavotte.mid
Duo Seraphim,by C. Monteverdi (1567-1643),"for Voices (TTT), Basso Continuo",Baroque,http://www.mutopiaproject.org/ftp/MonteverdiC/Duo_Seraphim/Duo_Seraphim.mid
Musiche per la Maddalena,by C. Monteverdi (1567-1643),"for Voices (SSATTB), Strings, Basso Continuo",Baroque,http://www.mutopiaproject.org/ftp/MonteverdiC/La_Maddalena/La_Maddalena-mids.zip
"Laudate Dominum, Motet for Soprano or Tenor",by C. Monteverdi (1567-1643),"for Voice (S/T), Basso Continuo",Baroque,http://www.mutopiaproject.org/ftp/MonteverdiC/Laudate_Dominum/Laudate_Dominum.mid
"O come sei gentile, Madrigale a 2 Soprani",by C. Monteverdi (1567-1643),"for Voice (SS), Basso Continuo",Baroque,http://www.mutopiaproject.org/ftp/MonteverdiC/O_come_sei_gentile/O_come_sei_gentile.mid
T'amo mia vita,by C. Monteverdi (1567-1643),"for Voices (SSATB), Basso Continuo",Baroque,http://www.mutopiaproject.org/ftp/MonteverdiC/SV105/T_Amo_Mia_Vita/T_Amo_Mia_Vita.mid
Sestina,by C. Monteverdi (1567-1643),"for Voice (SSATB), Basso Continuo",Baroque,http://www.mutopiaproject.org/ftp/MonteverdiC/SV111/Sestina/Sestina-mids.zip
Et resurrexit,by C. Monteverdi (1567-1643),"for Voices (SS or TT), 2 Violins, Basso Continuo",Baroque,http://www.mutopiaproject.org/ftp/MonteverdiC/SV260/Et_resurrexit/Et_resurrexit.mid
Beatus vir,by C. Monteverdi (1567-1643),"for Voices (SSATTB), 2 Violins, Basso Continuo",Baroque,http://www.mutopiaproject.org/ftp/MonteverdiC/SV268/Beatus_vir_primo/Beatus_vir_primo.mid
Ecce sacrum paratum convivium,by C. Monteverdi (1567-1643),"for Voice (T), Basso Continuo",Baroque,http://www.mutopiaproject.org/ftp/MonteverdiC/SV299/Ecce_sacrum_paratum_convivium/Ecce_sacrum_paratum_convivium.mid
Salve Regina,by C. Monteverdi (1567-1643),"for Voice (T), Basso Continuo",Baroque,http://www.mutopiaproject.org/ftp/MonteverdiC/SV327/Salve_Regina/Salve_Regina.mid
Toccata prima,by G. Muffat (1653-1704),for Organ,Baroque,http://www.mutopiaproject.org/ftp/MuffatG/GMT1/GMT1.mid
Canon in D,by J. Pachelbel (1653-1706),for Violin,Baroque,http://www.mutopiaproject.org/ftp/PachelbelJ/CanonInD/CanonInD.mid
Canon per 3 Violini e Basso,by J. Pachelbel (1653-1706),"for 3 Violins, Cello",Baroque,http://www.mutopiaproject.org/ftp/PachelbelJ/Canon_per_3_Violini_e_Basso/Canon_per_3_Violini_e_Basso-mids.zip
Ein feste Burg ist unser Gott,by J. Pachelbel (1653-1706),for Organ,Baroque,http://www.mutopiaproject.org/ftp/PachelbelJ/EinFesteBurg/EinFesteBurg.mid
Gigue,by J. Pachelbel (1653-1706),"for 3 Violins, Continuo",Baroque,http://www.mutopiaproject.org/ftp/PachelbelJ/PachelbelGigue/PachelbelGigue.mid
Fugues on the Magnificat III. 7.,by J. Pachelbel (1653-1706),for Piano,Baroque,http://www.mutopiaproject.org/ftp/PachelbelJ/fugue-3-7/fugue-3-7.mid
Sonata 21,by J. Pezelius (1639-1694),for Brass Ensemble,Baroque,http://www.mutopiaproject.org/ftp/PezeliusJ/PezeliusJ-sonata21/PezeliusJ-sonata21.mid
Sonata 24,by J. Pezelius (1639-1694),for Brass Ensemble,Baroque,http://www.mutopiaproject.org/ftp/PezeliusJ/PezeliusJ-sonata24/PezeliusJ-sonata24.mid
"Bel piacer, Aria from Semiramide riconosciuta",by N. Porpora (1686-1768),"for Voice (Soprano), String Ensemble, Basso Continuo",Baroque,http://www.mutopiaproject.org/ftp/PorporaN/BelPiacer/BelPiacer.mid
"Calcante ed Achille, Cantata a due Voci per Soprano e Basso",by N. Porpora (1686-1768),"for Voice (Soprano), Basso, String Ensemble, Basso Continuo",Baroque,http://www.mutopiaproject.org/ftp/PorporaN/Calcante_ed_Achille/Calcante_ed_Achille-mids.zip
"Parto ti lascio, Aria from Il Germanico",by N. Porpora (1686-1768),"for Soprano, Strings, Basso Continuo",Baroque,http://www.mutopiaproject.org/ftp/PorporaN/Parto_ti_lascio/Parto_ti_lascio.mid
"Passaggier che su la sponda, Aria from Semiramide riconosciuta",by N. Porpora (1686-1768),"for Voice (Soprano), String Ensemble, Basso Continuo",Baroque,http://www.mutopiaproject.org/ftp/PorporaN/Passaggier/Passaggier.mid
Semiramide riconosciuta,by N. Porpora (1686-1768),"for Dramatis personae (Voice: 2 Soprano Castratos, Soprano, Alto Castrato, Contralto, Tenor) and Orchestra (2 Flutes, 2 Oboes, 2 Trumpets, 2 Horns, Strings, Basso Continuo)",Baroque,http://www.mutopiaproject.org/ftp/PorporaN/Semiramide_riconosciuta/Semiramide_riconosciuta-mids.zip
"Senti se l'ingannai, Aria from Agrippina",by N. Porpora (1686-1768),"for Voice (Alto), String Ensemble, Basso Continuo",Baroque,http://www.mutopiaproject.org/ftp/PorporaN/SentiSeLIngannai/SentiSeLIngannai.mid
Solfeggio,by N. Porpora (1686-1768),for Voice (Soprano) and Basso Continuo,Baroque,http://www.mutopiaproject.org/ftp/PorporaN/Solfeggio/Solfeggio.mid
3. Mr. Powlwheel's Division on a Ground,by Mr. Powlwheel (?-?),for Violin,Baroque,http://www.mutopiaproject.org/ftp/Powlwheel/division-violin-03/division-violin-03-mids.zip
Ave dulcissima Maria,by G. Priuli (15??-16??),"for Voice (S), Basso Continuo",Baroque,http://www.mutopiaproject.org/ftp/PriuliG/Ave_dulcissima_Maria/Ave_dulcissima_Maria.mid
Fairest Isle,by H. Purcell (1658-1695),for Voice (SATB),Baroque,http://www.mutopiaproject.org/ftp/PurcellH/FairestIsle/FairestIsle.mid
"Jehova, quam multi sunt hostes mei",by H. Purcell (1658-1695),"for SSATB, Continuo",Baroque,http://www.mutopiaproject.org/ftp/PurcellH/Z135/JehovaQuamMulti/JehovaQuamMulti.mid
Allegro,by J. J. Quantz (1697-1773),for Flute and Basso Continuo,Baroque,http://www.mutopiaproject.org/ftp/QuantzJJ/Allegro/Allegro.mid
Capricio,by J. J. Quantz (1697-1773),for Flute,Baroque,http://www.mutopiaproject.org/ftp/QuantzJJ/Capricio/Capricio.mid
Minuetto,by J. J. Quantz (1697-1773),for Flute,Baroque,http://www.mutopiaproject.org/ftp/QuantzJJ/Minuetto/Minuetto-mids.zip
Hippolyte et Aricie,by J. P. Rameau (1683-1764),"for Voice, Orchestra",Baroque,http://www.mutopiaproject.org/ftp/RameauJP/HippolyteEtAricie/HippolyteEtAricie-mids.zip
Les FÃªtes de Ramire,by J. P. Rameau (1683-1764),"for Voices, Orchestra",Baroque,http://www.mutopiaproject.org/ftp/RameauJP/lesFetesDeRamire/lesFetesDeRamire-mids.zip
Les Tendres Plaintes,by J. P. Rameau (1683-1764),"for Harpsichord, Piano",Baroque,http://www.mutopiaproject.org/ftp/RameauJP/plaintes/plaintes.mid
Les Sauvages,by J. P. Rameau (1683-1764),"for Harpsichord, Piano",Baroque,http://www.mutopiaproject.org/ftp/RameauJP/sauvages/sauvages.mid
Tambourin,by J. P. Rameau (1683-1764),"for Harpsichord, Piano",Baroque,http://www.mutopiaproject.org/ftp/RameauJP/tambourin/tambourin.mid
1. Select Divisions upon a Ground,by Mr. Reddings (?-?),for Violin,Baroque,http://www.mutopiaproject.org/ftp/Reddings/division-violin-01/division-violin-01-mids.zip
Sonatina d moll,by C. Ritter (1645?-1725?),for Organ,Baroque,http://www.mutopiaproject.org/ftp/RitterC/CRson/CRson.mid
Fugue 1re,by F. Roberday (1624-1680),for Organ,Baroque,http://www.mutopiaproject.org/ftp/RoberdayF/Roberday-fugue-1/Roberday-fugue-1-mids.zip
Fugue 4me,by F. Roberday (1624-1680),for Organ,Baroque,http://www.mutopiaproject.org/ftp/RoberdayF/Roberday-fugue-4/Roberday-fugue-4-mids.zip
Fugue 5e,by F. Roberday (1624-1680),for Organ,Baroque,http://www.mutopiaproject.org/ftp/RoberdayF/Roberday-fugue-5/Roberday-fugue-5.mid
6 Duetti a Due Viole: No. 1,by A. Rolla (1757-1841),for Viola,Baroque,http://www.mutopiaproject.org/ftp/RollaA/6_duos_for_2_violas/duet_1_BI_9/duet_1_BI_9-mids.zip
6 Duetti a Due Viole: No. 2,by A. Rolla (1757-1841),for Viola,Baroque,http://www.mutopiaproject.org/ftp/RollaA/6_duos_for_2_violas/duet_2_BI_19/duet_2_BI_19-mids.zip
Sei Duetti a Due Viole,by A. Rolla (1757-1841),for Viola,Baroque,http://www.mutopiaproject.org/ftp/RollaA/Torinesi/tor_1/tor_1-mids.zip
Sei Duetti a Due Viole,by A. Rolla (1757-1841),for Viola,Baroque,http://www.mutopiaproject.org/ftp/RollaA/Torinesi/tor_2/tor_2-mids.zip
Premier livre de piÃ¨ces de clavecin,by J.-N.-P. Royer (1705-1755),for Harpsichord,Baroque,http://www.mutopiaproject.org/ftp/RoyerJNP/PremierLivre/PremierLivre-mids.zip
Dialogo a due. Pastor e Ninfa,by G. F. Sances (1600-1679),"for Voice (Soprano, Tenor) and Basso Continuo",Baroque,http://www.mutopiaproject.org/ftp/SancesGF/Dialogo_a_due/Dialogo_a_due.mid
Cantata. Non sia chi mi riprende,by G. F. Sances (1600-1679),for Voice (Soprano) and Basso Continuo,Baroque,http://www.mutopiaproject.org/ftp/SancesGF/Non_sia_chi_mi_riprenda/Non_sia_chi_mi_riprenda.mid
Sonata XI from the Essercizi per Gravicembalo,by D. Scarlatti (1685-1757),"for Harpsichord, Piano",Baroque,http://www.mutopiaproject.org/ftp/ScarlattiD/K11/sonatensatz/sonatensatz.mid
Keyboard Sonata in G Major,by D. Scarlatti (1685-1757),for Piano,Baroque,http://www.mutopiaproject.org/ftp/ScarlattiD/K455/scarlatti-k455/scarlatti-k455.mid
Keyboard Sonata in D Major,by D. Scarlatti (1685-1757),for Piano,Baroque,http://www.mutopiaproject.org/ftp/ScarlattiD/K491/scarlatti-k491/scarlatti-k491.mid
Sonata in C major,by D. Scarlatti (1685-1757),"for Harpsichord, Piano",Baroque,http://www.mutopiaproject.org/ftp/ScarlattiD/ds_sonate_c/ds_sonate_c.mid
"Sacro-Profanus Concentus, Sonata XXII",by J. H. Schmelzer (c.1623-1680),"for 2 Cornettinos, 2 Trumpets,3 Trombones, Continuo",Baroque,http://www.mutopiaproject.org/ftp/SchmelzerJH/Sonataduodecima/Sonataduodecima.mid
"25 Progressive Studies, No. 6",by F. Sor (1778-1839),for Guitar,Baroque,http://www.mutopiaproject.org/ftp/SorF/O60/sor_op60-06/sor_op60-06.mid
"25 Progressive Studies, No. 7",by F. Sor (1778-1839),for Guitar,Baroque,http://www.mutopiaproject.org/ftp/SorF/O60/sor_op60-07/sor_op60-07.mid
"25 Progressive Studies, No. 8",by F. Sor (1778-1839),for Guitar,Baroque,http://www.mutopiaproject.org/ftp/SorF/O60/sor_op60-08/sor_op60-08.mid
"25 Progressive Studies, No. 9",by F. Sor (1778-1839),for Guitar,Baroque,http://www.mutopiaproject.org/ftp/SorF/O60/sor_op60-09/sor_op60-09.mid
"25 Progressive Studies, No. 10",by F. Sor (1778-1839),for Guitar,Baroque,http://www.mutopiaproject.org/ftp/SorF/O60/sor_op60-10/sor_op60-10.mid
"25 Progressive Studies, No. 11",by F. Sor (1778-1839),for Guitar,Baroque,http://www.mutopiaproject.org/ftp/SorF/O60/sor_op60-11/sor_op60-11.mid
"25 Progressive Studies, No. 12",by F. Sor (1778-1839),for Guitar,Baroque,http://www.mutopiaproject.org/ftp/SorF/O60/sor_op60-12/sor_op60-12.mid
"25 Progressive Studies, No. 13",by F. Sor (1778-1839),for Guitar,Baroque,http://www.mutopiaproject.org/ftp/SorF/O60/sor_op60-13/sor_op60-13.mid
Sonata in a for 2 cornets and 3 sackbuts and basso continuo,by D. Speer (1636-1707),for Brass Ensemble,Baroque,http://www.mutopiaproject.org/ftp/SpeerD/sonata-speer/sonata-speer.mid
Concerto in D major for four violins,by G. P. Telemann (1681-1767),for Violin,Baroque,http://www.mutopiaproject.org/ftp/TelemannGP/Concerto_a_4_D/Concerto_a_4_D-mids.zip
Concerto in G major for four violins,by G. P. Telemann (1681-1767),for Violin,Baroque,http://www.mutopiaproject.org/ftp/TelemannGP/Concerto_a_4_G/Concerto_a_4_G-mids.zip
Sonatas for two recorders,by G. P. Telemann (1681-1767),for Recorder duet,Baroque,http://www.mutopiaproject.org/ftp/TelemannGP/Sonata_1/Sonata_1-mids.zip
Sonata in C major for four violins,by G. P. Telemann (1681-1767),for Violin,Baroque,http://www.mutopiaproject.org/ftp/TelemannGP/Sonata_a_4_C/Sonata_a_4_C-mids.zip
Duett - (TWV 40:107),by G. P. Telemann (1681-1767),for Recorder duet,Baroque,http://www.mutopiaproject.org/ftp/TelemannGP/TWV40/Duett-Telemann/Duett-Telemann-mids.zip
Concerto Ã  8,by G. P. Telemann (1681-1767),"for Violin, Viola, Cello, Oboe, Harpsichord",Baroque,http://www.mutopiaproject.org/ftp/TelemannGP/TWV51G8/concerto-8/concerto-8-mids.zip
PremiÃ¨re sonate en duo,by G. P. Telemann (1681-1767),"for Violin, Viola",Baroque,http://www.mutopiaproject.org/ftp/TelemannGP/TelemannGP-canons-sonate1/TelemannGP-canons-sonate1-mids.zip
Seconde sonate en duo,by G. P. Telemann (1681-1767),"for Violin, Viola",Baroque,http://www.mutopiaproject.org/ftp/TelemannGP/TelemannGP-canons-sonate2/TelemannGP-canons-sonate2-mids.zip
Annue Christe (2e verset),by J. Titelouze (1563-1633),for Organ,Baroque,http://www.mutopiaproject.org/ftp/TitelouzeJ/Annue_Christe_2e_verset/Annue_Christe_2e_verset.mid
Annue Christe (AMEN),by J. Titelouze (1563-1633),for Organ,Baroque,http://www.mutopiaproject.org/ftp/TitelouzeJ/Annue_Christe_Amen/Annue_Christe_Amen.mid
Ave Maris Stella (1er verset),by J. Titelouze (1563-1633),for Organ,Baroque,http://www.mutopiaproject.org/ftp/TitelouzeJ/Ave_Maris_Stella-1er_verset/Ave_Maris_Stella-1er_verset.mid
Ave Maris Stella (2e verset),by J. Titelouze (1563-1633),for Organ,Baroque,http://www.mutopiaproject.org/ftp/TitelouzeJ/Ave_Maris_Stella-2e_verset/Ave_Maris_Stella-2e_verset.mid
Ave Maris Stella (3e verset),by J. Titelouze (1563-1633),for Organ,Baroque,http://www.mutopiaproject.org/ftp/TitelouzeJ/Ave_Maris_Stella-3e_verset/Ave_Maris_Stella-3e_verset.mid
Ave Maris Stella (4e verset),by J. Titelouze (1563-1633),for Organ,Baroque,http://www.mutopiaproject.org/ftp/TitelouzeJ/Ave_Maris_Stella-4e_verset/Ave_Maris_Stella-4e_verset.mid
Conditor alme siderum (3e verset),by J. Titelouze (1563-1633),for Organ,Baroque,http://www.mutopiaproject.org/ftp/TitelouzeJ/Conditor_alme_siderum-3e_verset/Conditor_alme_siderum-3e_verset.mid
Pange Lingua (2e verset),by J. Titelouze (1563-1633),for Organ,Baroque,http://www.mutopiaproject.org/ftp/TitelouzeJ/Pange_Lingua-2e_verset/Pange_Lingua-2e_verset.mid
A solis ortus (1er verset),by J. Titelouze (1563-1633),for Organ,Baroque,http://www.mutopiaproject.org/ftp/TitelouzeJ/Titelouze-A_solis_ortus-verset_1/Titelouze-A_solis_ortus-verset_1.mid
A Solis ortus (2e verset),by J. Titelouze (1563-1633),for Organ,Baroque,http://www.mutopiaproject.org/ftp/TitelouzeJ/Titelouze-A_solis_ortus/Titelouze-A_solis_ortus.mid
Conditor alme siderum (1er verset),by J. Titelouze (1563-1633),for Organ,Baroque,http://www.mutopiaproject.org/ftp/TitelouzeJ/Titelouze-Conditor_alme_siderum-1er_verset/Titelouze-Conditor_alme_siderum-1er_verset.mid
Sanctorum meritis (2e verset),by J. Titelouze (1563-1633),for Organ,Baroque,http://www.mutopiaproject.org/ftp/TitelouzeJ/Titelouze-Sanctorum_meritis/Titelouze-Sanctorum_meritis.mid
Urbs Jerusalem (1er verset),by J. Titelouze (1563-1633),for Organ,Baroque,http://www.mutopiaproject.org/ftp/TitelouzeJ/Titelouze-Urbs_Jerusalem_1er_verset/Titelouze-Urbs_Jerusalem_1er_verset.mid
Urbs Jerusalem (2e verset),by J. Titelouze (1563-1633),for Organ,Baroque,http://www.mutopiaproject.org/ftp/TitelouzeJ/Titelouze-Urbs_Jerusalem_2e_verset/Titelouze-Urbs_Jerusalem_2e_verset.mid
Urbs Jerusalem (3e verset),by J. Titelouze (1563-1633),for Organ,Baroque,http://www.mutopiaproject.org/ftp/TitelouzeJ/Urbs_Jerusalem-3e_verset/Urbs_Jerusalem-3e_verset.mid
Ut queant laxis (3e verset),by J. Titelouze (1563-1633),for Organ,Baroque,http://www.mutopiaproject.org/ftp/TitelouzeJ/Ut_queant_laxis/Ut_queant_laxis.mid
Veni Creator (1er verset),by J. Titelouze (1563-1633),for Organ,Baroque,http://www.mutopiaproject.org/ftp/TitelouzeJ/Veni_Creator-1er_verset/Veni_Creator-1er_verset.mid
Veni Creator (2e verset),by J. Titelouze (1563-1633),for Organ,Baroque,http://www.mutopiaproject.org/ftp/TitelouzeJ/Veni_Creator-2e_verset/Veni_Creator-2e_verset.mid
Veni Creator (3e verset),by J. Titelouze (1563-1633),for Organ,Baroque,http://www.mutopiaproject.org/ftp/TitelouzeJ/Veni_Creator-3e_verset/Veni_Creator-3e_verset.mid
Veni Creator (4e verset),by J. Titelouze (1563-1633),for Organ,Baroque,http://www.mutopiaproject.org/ftp/TitelouzeJ/Veni_Creator-4e_verset/Veni_Creator-4e_verset.mid
Ad CÅnam (2e verset),by J. Titelouze (1563-1633),for Organ,Baroque,http://www.mutopiaproject.org/ftp/TitelouzeJ/cae2/cae2.mid
Ad CÅnam (3e verset),by J. Titelouze (1563-1633),for Organ,Baroque,http://www.mutopiaproject.org/ftp/TitelouzeJ/cae3/cae3.mid
Iste Confessor (2e verset),by J. Titelouze (1563-1633),for Organ,Baroque,http://www.mutopiaproject.org/ftp/TitelouzeJ/istec2/istec2.mid
"Concerto Per Mandolino, Violino Primo, Violino Secondo e Basso (Gimo 297)",by V. Ugolino (?-?),"for Ensemble: Mandolin, 2 Violins, 'Cello",Baroque,http://www.mutopiaproject.org/ftp/UgolinoV/gimo-297/gimo-297-mids.zip
Vulnerasti cor meum,by G. Valentini (1582/83-1649),"for Voices (TTB), Basso Continuo",Baroque,http://www.mutopiaproject.org/ftp/ValentiniG/Vulnerasti_cor_meum/Vulnerasti_cor_meum.mid
Brevi concerti ecclesiastici,by L. G. Valvasensi (1585-1661),"for Voise (S), Basso Continuo",Baroque,http://www.mutopiaproject.org/ftp/ValvasensiLG/Valvasensi_Concerti/Valvasensi_Concerti-mids.zip
"Al fiero mio sospetto, Aria from Caduta dei Decemviri",by L. Vinci (1690-1730),"for Voice (Bass), Viola, Bassoon and Basso Continuo",Baroque,http://www.mutopiaproject.org/ftp/VinciL/AlFieroMioSospetto/AlFieroMioSospetto.mid
"Di rabbia, di sdegno, Aria from Semiramide",by L. Vinci (1690-1730),"for Ensemble: Alto, Strings, Basso Continuo",Baroque,http://www.mutopiaproject.org/ftp/VinciL/Di_rabbia_di_sdegno/Di_rabbia_di_sdegno.mid
"Ride il ciel per me sereno, Aria from Siface",by L. Vinci (1690-1730),"for Voice (Soprano), String Ensemble, Basso Continuo",Baroque,http://www.mutopiaproject.org/ftp/VinciL/Ride_il_ciel/Ride_il_ciel.mid
"Voi che le mie vicende, Aria from Semiramide",by L. Vinci (1690-1730),"for Voice (Tenor), String Ensemble, Basso Continuo",Baroque,http://www.mutopiaproject.org/ftp/VinciL/Voi_che_le_mie_vicende/Voi_che_le_mie_vicende.mid
T'amo mia vita,by F. Vitali (ca. 1599-1653),"for Voice (SS), Basso Continuo",Baroque,http://www.mutopiaproject.org/ftp/VitaliF/T_amo_mia_vita/T_amo_mia_vita.mid
"L'estro Armonico, Op. 3",by A. Vivaldi (1678-1741),"for Violin, Viola, Cello, Viol, Cembalo",Baroque,http://www.mutopiaproject.org/ftp/VivaldiA/O3/vivaldi-o3/vivaldi-o3-mids.zip
Autumno / Autumn,by A. Vivaldi (1678-1741),"for Violin, Strings",Baroque,http://www.mutopiaproject.org/ftp/VivaldiA/O8/autumn/autumn-mids.zip
La Primavera / Spring,by A. Vivaldi (1678-1741),"for Violin, Strings",Baroque,http://www.mutopiaproject.org/ftp/VivaldiA/O8/spring/spring-mids.zip
Estate / Summer,by A. Vivaldi (1678-1741),"for Violin, Strings",Baroque,http://www.mutopiaproject.org/ftp/VivaldiA/O8/summer/summer-mids.zip
L'Inverno / Winter,by A. Vivaldi (1678-1741),"for Violin, String",Baroque,http://www.mutopiaproject.org/ftp/VivaldiA/O8/winter/winter-mids.zip
Concerto in D Minor for Viola d'amore and Lute,by A. Vivaldi (1678-1741),"for Viola d'amore, Lute, String Ensemble: Violins, Viola, Cello, Basso Continuo",Baroque,http://www.mutopiaproject.org/ftp/VivaldiA/rv540/rv540-mids.zip
"Quell'alma superba, Aria from Serenata a tre",by A. Vivaldi (1678-1741),"for Voice (Tenor), Bassoon, String Ensemble, Basso Continuo",Baroque,http://www.mutopiaproject.org/ftp/VivaldiA/rv690/DellAlmaSuperba/DellAlmaSuperba.mid
"Del destin non vi lagnate, Aria from L'Olimpiade",by A. Vivaldi (1678-1741),"for Voice (Tenor), String Ensemble, Basso Continuo",Baroque,http://www.mutopiaproject.org/ftp/VivaldiA/rv725/DelDestin/DelDestin.mid
"Mentre dormi amor, Aria from L'Olimpiade",by A. Vivaldi (1678-1741),"for Voice (Soprano), Horn, String Ensemble, Basso Continuo",Baroque,http://www.mutopiaproject.org/ftp/VivaldiA/rv725/MentreDormi/MentreDormi.mid
"Siam navi all'onde algenti, Aria from L'Olimpiade",by A. Vivaldi (1678-1741),"for Voice (Soprano), String Ensemble, Basso Continuo",Baroque,http://www.mutopiaproject.org/ftp/VivaldiA/rv725/SiamNavi/SiamNavi.mid
"Sta piangendo la tortorella, Aria from L'Olimpiade",by A. Vivaldi (1678-1741),"for Voice (Soprano), Horns, String Ensemble, Basso Continuo",Baroque,http://www.mutopiaproject.org/ftp/VivaldiA/rv725/StaPiangendo/StaPiangendo.mid
